condition,distance,structure,path,raw_probability,unattested_ngrams,dependency,n_gram,bootstrap_sample
Subject,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
Subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1039349452539366e-07,[],RC,Bigram,5
Subject,Long,Island,"['start', 'COMP_nominal', 'SUBJ', 'ADJUNCT', 'OBJ', 'end']",1.0381999350490899e-14,"[('SUBJ', 'ADJUNCT')]",RC,Bigram,5
CNP,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
CNP,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
CNP,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.3300919820273055e-07,[],RC,Bigram,5
CNP,Long,Island,"['start', 'OBJ', 'COMP_nominal', 'OBJ', 'end']",5.440390101492261e-11,"[('OBJ', 'COMP_nominal')]",RC,Bigram,5
EQ,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
EQ,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1039349452539366e-07,[],RC,Bigram,5
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",1.3131448207827214e-08,[],RC,Bigram,5
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012911197108418303,[],RC,Bigram,5
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.012911197108418303,[],RC,Bigram,5
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.3300919820273055e-07,[],RC,Bigram,5
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",5.715478820368006e-10,[],RC,Bigram,5
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
Whether-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1039349452539366e-07,[],RC,Bigram,5
Whether-subject,Long,Island,"['start', 'COMP_pol-int', 'SUBJ', 'end']",1.9652507521918272e-10,[],RC,Bigram,5
Whether-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012911197108418303,[],RC,Bigram,5
Whether-object,Short,Island,"['start', 'OBJ', 'end']",0.012911197108418303,[],RC,Bigram,5
Whether-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.3300919820273055e-07,[],RC,Bigram,5
Whether-object,Long,Island,"['start', 'COMP_pol-int', 'OBJ', 'end']",1.397117044978846e-10,[],RC,Bigram,5
Adjunct,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
Adjunct,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
Adjunct,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.3300919820273055e-07,[],RC,Bigram,5
Adjunct,Long,Island,"['start', 'ADJUNCT_adv', 'OBJ', 'end']",4.233688015087412e-12,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram,5
RC-predlink,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
RC-predlink,Short,Island,"['start', 'PREDLINK', 'end']",0.00019691327622984117,[],RC,Bigram,5
RC-predlink,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.3300919820273055e-07,[],RC,Bigram,5
RC-predlink,Long,Island,"['start', 'ADJUNCT_rel', 'OBJ', 'end']",4.233688015087412e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram,5
RC-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
RC-subject,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
RC-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1039349452539366e-07,[],RC,Bigram,5
RC-subject,Long,Island,"['start', 'ADJUNCT_rel', 'SUBJ', 'end']",5.955305309672204e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram,5
RC-Pcomp,Short,noIsland,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
RC-Pcomp,Short,Island,"['start', 'SUBJ', 'end']",0.037981776617771607,[],RC,Bigram,5
RC-Pcomp,Long,noIsland,"['start', 'COMP_nominal', 'ADJUNCT', 'OBJ', 'end']",2.0040061886272067e-09,[],RC,Bigram,5
RC-Pcomp,Long,Island,"['start', 'ADJUNCT_rel', 'ADJUNCT', 'OBJ', 'end']",1.0810844196079227e-13,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'ADJUNCT')]",RC,Bigram,5
Subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
Subject,Short,Island,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
Subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1475263738653426e-07,[],RC,Bigram,6
Subject,Long,Island,"['start', 'COMP_nominal', 'SUBJ', 'ADJUNCT', 'OBJ', 'end']",1.1289815219391815e-14,"[('SUBJ', 'ADJUNCT')]",RC,Bigram,6
CNP,Short,noIsland,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
CNP,Short,Island,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
CNP,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.277403830609543e-07,[],RC,Bigram,6
CNP,Long,Island,"['start', 'OBJ', 'COMP_nominal', 'OBJ', 'end']",6.704869334206686e-11,"[('OBJ', 'COMP_nominal')]",RC,Bigram,6
EQ,Short,noIsland,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
EQ,Short,Island,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.1475263738653426e-07,[],RC,Bigram,6
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",1.2976540614252423e-08,[],RC,Bigram,6
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.013253598356498895,[],RC,Bigram,6
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.013253598356498895,[],RC,Bigram,6
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",4.277403830609543e-07,[],RC,Bigram,6
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",9.662518818581237e-10,[],RC,Bigram,6
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03726577278891941,[],RC,Bigram,6
